Date,Total_Confirmed,Total_Change,Total_%_change,Total_Presumptive,Total_CDC confirmed,Exposure_Biogen,Exposure_Local,Exposure_Travel,Exposure_Unknown,Tests_Total,Tests_Change,Tests_%_change,Hospitalization_Yes,Hospitalization_no,Hospitalization_unknown,Deaths_Total,Deaths_Change,Deaths_%_change,Quarantine_Total,Quarantine_Released,Source
1-Feb,1,0,,0,1,,,,,,,,,,,,,,,,[7]
2-Mar,2,1,100%,1,1,,,2,,,,,,,,,,,608,377,[12]
5-Mar,3,1,50%,2,1,,,2,,,,,,,,,,,719,470,[105][note 19]
6-Mar,8,5,166%,7,1,,2,,,,,,,,,,,,719,470,[note 19]
7-Mar,13,5,62%,12,1,,2,,,,,,,,,,,,719,470,[note 20]
8-Mar,28,15,115%,27,1,,2,,,,,,,,,,,,719,470,[note 21]
9-Mar,41,13,46%,40,1,,2,,,,,,4,37,,,,,719,470,[note 15][note 22]
10-Mar,92,51,124%,91,1,70,2,4,18,,,,6,62,24,,,,1083,638,[note 23][note 24]
11-Mar,95,3,3%,89,6,77,2,4,14,,,,8,84,3,,,,1083,638,[note 25][note 24]
12-Mar,108,13,14%,102,6,82,2,5,13,,,,10,89,9,,,,1083,638,[note 14][note 24]
13-Mar,123,15,14%,105,18,94,2,5,16,,,,10,101,12,,,,1083,638,[note 11][note 24]
14-Mar,138,15,12%,119,19,104,2,5,21,,,,11,105,22,,,,1083,638,[note 26][note 24]
15-Mar,164,26,19%,119,45,108,2,13,35,,,,13,115,36,,,,1083,638,[note 27][note 24]
16-Mar,197,33,20%,,,100,28,18,51,1296,,,14,123,60,,,,1083,638,[note 9][note 24]
17-Mar,218,21,11%,,,102,33,24,59,1751,455,26%,21,145,52,,,,2054,886,[note 28][note 29]
18-Mar,256,38,17%,,,97,38,26,95,2271,520,23%,27,151,78,,,,2054,886,[note 2][note 29]
19-Mar,328,72,28%,,,97,46,34,151,3132,861,27%,43,160,125,,,,2054,886,[note 30][note 29]
20-Mar,413,85,26%,,,97,63,49,204,4091,959,23%,58,199,156,1,,,2054,886,[note 31][note 29]
21-Mar,525,112,27%,,,97,69,53,306,5207,1116,21%,61,215,249,2,1,100%,2054,886,[note 32][note 29]
22-Mar,646,121,23%,,,99,83,68,396,6004,797,13%,71,263,312,5,3,150%,2054,886,[note 3][note 29]
23-Mar,777,131,20%,,,99,104,75,499,8922,2918,33%,79,286,412,9,4,80%,2054,886,[note 33][note 29]
24-Mar,1159,382,49%,,,99,120,86,854,13755,4833,35%,94,313,752,11,2,22%,3802,1655,[note 4][note 34]
25-Mar,1838,679,59%,,,99,146,92,1501,19794,6039,31%,103,350,1385,15,4,36%,3802,1655,[note 35][note 34]
